Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
027-004-00-5,cobalt dichloride,7646-79-9,H350i | H341 | H360F *** | H302 | H334 | H317 | H400 | H410 |,"Carc. 1B; H350i: C ≥ 0,01 % | M=10 |"
027-005-00-0,cobalt sulfate,10124-43-3,H350i | H341 | H360F *** | H302 | H334 | H317 | H400 | H410 |,"Carc. 1B; H350i: C ≥ ,01 % | M=10 |"
027-006-00-6,cobalt di(acetate),71-48-7,H350i | H341 | H360F *** | H334 | H317 | H400 | H410 |,"Carc. 1B; H350i: C ≥ 0,01 % | M=10 |"
027-009-00-2,cobalt dinitrate,10141-05-6,H350i | H341 | H360F *** | H334 | H317 | H400 | H410 |,"Carc. 1B; H350i: C ≥ 0,01 % | M=10 |"
027-010-00-8,cobalt carbonate,513-79-1,H350i | H341 | H360F *** | H334 | H317 | H400 | H410 |,"Carc. 1B; H350i: C ≥ 0,01 % | M=10 |"
028-009-00-5,nickel sulfate,7786-81-4,H350i | H341 | H360D *** | H332 | H302 | H372 ** | H315 | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Irrit. 2; H315: C ≥ 20 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-011-00-6,nickel dichloride,7718-54-9,H350i | H341 | H360D *** | H331 | H301 | H372 ** | H315 | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % < C < 1 % | Skin Irrit. 2; H315: C ≥ 20 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-012-00-1,"nickel dinitrate [1] | nitric acid, nickel salt [2] |",13138-45-9 [1] | 14216-75-2 [2] |,H272 | H350i | H341 | H360D *** | H332 | H302 | H372 ** | H315 | H318 | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: ,1 % < C < 1 % | Skin Irrit. 2; H315: C ≥ 20 % | Skin Sens. 1; H317: C > ,01 % | M=1 |"
028-014-00-2,"slimes and sludges, copper electrolytic refining, decopperised, nickel sulfate",92129-57-2,H350i | H341 | H360D *** | H332 | H302 | H372 ** | H315 | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-016-00-3,"nickel diperchlorate; perchloric acid, nickel(II) salt",13637-71-3,H350i | H341 | H360D *** | H372 ** | H314 | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
